Exam 1,Exam 2,Final Exam,StudentID
87,87,81,1
95,88,89,2
94,69,81,3
85,80,58,4
81,80,79,5
89,94,93,6
100,99,98,7
91,96,91,8
74,91,77,9
91,90,87,10
97,101,94,11
87,61,73,12
94,102,82,13
93,73,72,14
86,83,82,15
90,89,90,16
94,99,93,17
62,48,66,18
89,79,56,19
100,96,94,20
92,98,90,21
100,83,90,22
91,85,87,23
80,81,73,24
85,81,68,25
86,89,79,26
88,79,92,27
80,72,75,28
84,75,85,29
85,79,81,30
73,76,53,31
90,80,85,32
88,93,79,33
84,83,79,34
92,95,92,35
91,97,94,36
88,96,97,37
90,75,96,38
71,90,80,39
70,59,57,40
87,80,77,41
85,96,91,42
97,95,93,43
91,88,85,44
85,51,70,45
89,94,99,46
59,66,83,47
