StudentID,Assesment,Score
1,Exam 1,87
1,Exam 2,87
1,Final Exam,81
2,Exam 1,95
2,Exam 2,88
2,Final Exam,89
3,Exam 1,94
3,Exam 2,69
3,Final Exam,81
4,Exam 1,85
4,Exam 2,80
4,Final Exam,58
5,Exam 1,81
5,Exam 2,80
5,Final Exam,79
6,Exam 1,89
6,Exam 2,94
6,Final Exam,93
7,Exam 1,100
7,Exam 2,99
7,Final Exam,98
8,Exam 1,91
8,Exam 2,96
8,Final Exam,91
9,Exam 1,74
9,Exam 2,91
9,Final Exam,77
10,Exam 1,91
10,Exam 2,90
10,Final Exam,87
11,Exam 1,97
11,Exam 2,101
11,Final Exam,94
12,Exam 1,87
12,Exam 2,61
12,Final Exam,73
13,Exam 1,94
13,Exam 2,102
13,Final Exam,82
14,Exam 1,93
14,Exam 2,73
14,Final Exam,72
15,Exam 1,86
15,Exam 2,83
15,Final Exam,82
16,Exam 1,90
16,Exam 2,89
16,Final Exam,90
17,Exam 1,94
17,Exam 2,99
17,Final Exam,93
18,Exam 1,62
18,Exam 2,48
18,Final Exam,66
19,Exam 1,89
19,Exam 2,79
19,Final Exam,56
20,Exam 1,100
20,Exam 2,96
20,Final Exam,94
21,Exam 1,92
21,Exam 2,98
21,Final Exam,90
22,Exam 1,100
22,Exam 2,83
22,Final Exam,90
23,Exam 1,91
23,Exam 2,85
23,Final Exam,87
24,Exam 1,80
24,Exam 2,81
24,Final Exam,73
25,Exam 1,85
25,Exam 2,81
25,Final Exam,68
26,Exam 1,86
26,Exam 2,89
26,Final Exam,79
27,Exam 1,88
27,Exam 2,79
27,Final Exam,92
28,Exam 1,80
28,Exam 2,72
28,Final Exam,75
29,Exam 1,84
29,Exam 2,75
29,Final Exam,85
30,Exam 1,85
30,Exam 2,79
30,Final Exam,81
31,Exam 1,73
31,Exam 2,76
31,Final Exam,53
32,Exam 1,90
32,Exam 2,80
32,Final Exam,85
33,Exam 1,88
33,Exam 2,93
33,Final Exam,79
34,Exam 1,84
34,Exam 2,83
34,Final Exam,79
35,Exam 1,92
35,Exam 2,95
35,Final Exam,92
36,Exam 1,91
36,Exam 2,97
36,Final Exam,94
37,Exam 1,88
37,Exam 2,96
37,Final Exam,97
38,Exam 1,90
38,Exam 2,75
38,Final Exam,96
39,Exam 1,71
39,Exam 2,90
39,Final Exam,80
40,Exam 1,70
40,Exam 2,59
40,Final Exam,57
41,Exam 1,87
41,Exam 2,80
41,Final Exam,77
42,Exam 1,85
42,Exam 2,96
42,Final Exam,91
43,Exam 1,97
43,Exam 2,95
43,Final Exam,93
44,Exam 1,91
44,Exam 2,88
44,Final Exam,85
45,Exam 1,85
45,Exam 2,51
45,Final Exam,70
46,Exam 1,89
46,Exam 2,94
46,Final Exam,99
47,Exam 1,59
47,Exam 2,66
47,Final Exam,83
