COUNTY,STATE,DATE_DESC,POP,Date,Hisp,prop
Apache ,Arizona,4/1/2010 population estimates base,67404,2010-04-01,Non Hispanic,0.942489198372415
Apache ,Arizona,4/1/2010 population estimates base,4113,2010-04-01,Hispanic,0.05751080162758505
Apache ,Arizona,7/1/2010 population estimate,67655,2010-07-01,Non Hispanic,0.9418504287782604
Apache ,Arizona,7/1/2010 population estimate,4177,2010-07-01,Hispanic,0.05814957122173962
Apache ,Arizona,7/1/2011 population estimate,67932,2011-07-01,Non Hispanic,0.9410689053279029
Apache ,Arizona,7/1/2011 population estimate,4254,2011-07-01,Hispanic,0.05893109467209708
Apache ,Arizona,7/1/2012 population estimate,67973,2012-07-01,Non Hispanic,0.9409590520224812
Apache ,Arizona,7/1/2012 population estimate,4265,2012-07-01,Hispanic,0.05904094797751876
Apache ,Arizona,7/1/2013 population estimate,68033,2013-07-01,Non Hispanic,0.9404487082014349
Apache ,Arizona,7/1/2013 population estimate,4308,2013-07-01,Hispanic,0.05955129179856513
Apache ,Arizona,7/1/2014 population estimate,67485,2014-07-01,Non Hispanic,0.939640768588137
Apache ,Arizona,7/1/2014 population estimate,4335,2014-07-01,Hispanic,0.06035923141186299
Apache ,Arizona,7/1/2015 population estimate,66630,2015-07-01,Non Hispanic,0.9381600067584692
Apache ,Arizona,7/1/2015 population estimate,4392,2015-07-01,Hispanic,0.06183999324153079
Apache ,Arizona,7/1/2016 population estimate,66994,2016-07-01,Non Hispanic,0.9382518941781157
Apache ,Arizona,7/1/2016 population estimate,4409,2016-07-01,Hispanic,0.06174810582188423
Apache ,Arizona,7/1/2017 population estimate,67046,2017-07-01,Non Hispanic,0.9371165001048292
Apache ,Arizona,7/1/2017 population estimate,4499,2017-07-01,Hispanic,0.06288349989517088
Apache ,Arizona,7/1/2018 population estimate,67228,2018-07-01,Non Hispanic,0.9360884457935337
Apache ,Arizona,7/1/2018 population estimate,4590,2018-07-01,Hispanic,0.06391155420646634
Cochise ,Arizona,4/1/2010 population estimates base,88814,2010-04-01,Non Hispanic,0.676126890839468
Cochise ,Arizona,4/1/2010 population estimates base,42543,2010-04-01,Hispanic,0.32387310916053197
Cochise ,Arizona,7/1/2010 population estimate,88938,2010-07-01,Non Hispanic,0.6746825264371653
Cochise ,Arizona,7/1/2010 population estimate,42884,2010-07-01,Hispanic,0.32531747356283475
Cochise ,Arizona,7/1/2011 population estimate,89167,2011-07-01,Non Hispanic,0.6698695074035955
Cochise ,Arizona,7/1/2011 population estimate,43944,2011-07-01,Hispanic,0.3301304925964045
Cochise ,Arizona,7/1/2012 population estimate,87744,2012-07-01,Non Hispanic,0.6645963673821823
Cochise ,Arizona,7/1/2012 population estimate,44282,2012-07-01,Hispanic,0.3354036326178177
Cochise ,Arizona,7/1/2013 population estimate,84993,2013-07-01,Non Hispanic,0.65576970557373
Cochise ,Arizona,7/1/2013 population estimate,44615,2013-07-01,Hispanic,0.34423029442626996
Cochise ,Arizona,7/1/2014 population estimate,82945,2014-07-01,Non Hispanic,0.6513050442867014
Cochise ,Arizona,7/1/2014 population estimate,44407,2014-07-01,Hispanic,0.34869495571329856
Cochise ,Arizona,7/1/2015 population estimate,82165,2015-07-01,Non Hispanic,0.6495154226810643
Cochise ,Arizona,7/1/2015 population estimate,44337,2015-07-01,Hispanic,0.3504845773189357
Cochise ,Arizona,7/1/2016 population estimate,81259,2016-07-01,Non Hispanic,0.6460304336073524
Cochise ,Arizona,7/1/2016 population estimate,44523,2016-07-01,Hispanic,0.3539695663926476
Cochise ,Arizona,7/1/2017 population estimate,80439,2017-07-01,Non Hispanic,0.6435634850788063
Cochise ,Arizona,7/1/2017 population estimate,44551,2017-07-01,Hispanic,0.3564365149211937
Cochise ,Arizona,7/1/2018 population estimate,45173,2018-07-01,Hispanic,0.35633825037469435
Cochise ,Arizona,7/1/2018 population estimate,81597,2018-07-01,Non Hispanic,0.6436617496253056
Coconino ,Arizona,4/1/2010 population estimates base,116258,2010-04-01,Non Hispanic,0.8648154071605507
Coconino ,Arizona,4/1/2010 population estimates base,18173,2010-04-01,Hispanic,0.13518459283944922
Coconino ,Arizona,7/1/2010 population estimate,116414,2010-07-01,Non Hispanic,0.8647729129834049
Coconino ,Arizona,7/1/2010 population estimate,18204,2010-07-01,Hispanic,0.1352270870165951
