Date,Date2,Year,Month,CO2
1958-03-01,1958.208,1958,3,315.71
1958-04-01,1958.292,1958,4,317.45
1958-05-01,1958.375,1958,5,317.5
1958-07-01,1958.542,1958,7,315.86
1958-08-01,1958.625,1958,8,314.93
1958-09-01,1958.708,1958,9,313.2
1958-11-01,1958.875,1958,11,313.33
1958-12-01,1958.958,1958,12,314.67
1959-01-01,1959.042,1959,1,315.62
1959-02-01,1959.125,1959,2,316.38
1959-03-01,1959.208,1959,3,316.71
1959-04-01,1959.292,1959,4,317.72
1959-05-01,1959.375,1959,5,318.29
1959-06-01,1959.458,1959,6,318.15
1959-07-01,1959.542,1959,7,316.54
1959-08-01,1959.625,1959,8,314.8
1959-09-01,1959.708,1959,9,313.84
1959-10-01,1959.792,1959,10,313.26
1959-11-01,1959.875,1959,11,314.8
1959-12-01,1959.958,1959,12,315.58
1960-01-01,1960.042,1960,1,316.43
1960-02-01,1960.125,1960,2,316.97
1960-03-01,1960.208,1960,3,317.58
1960-04-01,1960.292,1960,4,319.02
1960-05-01,1960.375,1960,5,320.03
1960-06-01,1960.458,1960,6,319.59
1960-07-01,1960.542,1960,7,318.18
1960-08-01,1960.625,1960,8,315.91
1960-09-01,1960.708,1960,9,314.16
1960-10-01,1960.792,1960,10,313.83
1960-11-01,1960.875,1960,11,315
1960-12-01,1960.958,1960,12,316.19
1961-01-01,1961.042,1961,1,316.93
1961-02-01,1961.125,1961,2,317.7
1961-03-01,1961.208,1961,3,318.54
1961-04-01,1961.292,1961,4,319.48
1961-05-01,1961.375,1961,5,320.58
1961-06-01,1961.458,1961,6,319.77
1961-07-01,1961.542,1961,7,318.57
1961-08-01,1961.625,1961,8,316.79
1961-09-01,1961.708,1961,9,314.8
1961-10-01,1961.792,1961,10,315.38
1961-11-01,1961.875,1961,11,316.1
1961-12-01,1961.958,1961,12,317.01
1962-01-01,1962.042,1962,1,317.94
1962-02-01,1962.125,1962,2,318.56
1962-03-01,1962.208,1962,3,319.68
1962-04-01,1962.292,1962,4,320.63
1962-05-01,1962.375,1962,5,321.01
1962-06-01,1962.458,1962,6,320.55
1962-07-01,1962.542,1962,7,319.58
1962-08-01,1962.625,1962,8,317.4
1962-09-01,1962.708,1962,9,316.26
1962-10-01,1962.792,1962,10,315.42
1962-11-01,1962.875,1962,11,316.69
1962-12-01,1962.958,1962,12,317.69
1963-01-01,1963.042,1963,1,318.74
1963-02-01,1963.125,1963,2,319.08
1963-03-01,1963.208,1963,3,319.86
1963-04-01,1963.292,1963,4,321.39
1963-05-01,1963.375,1963,5,322.25
1963-06-01,1963.458,1963,6,321.47
1963-07-01,1963.542,1963,7,319.74
1963-08-01,1963.625,1963,8,317.77
1963-09-01,1963.708,1963,9,316.21
1963-10-01,1963.792,1963,10,315.99
1963-11-01,1963.875,1963,11,317.12
1963-12-01,1963.958,1963,12,318.31
1964-01-01,1964.042,1964,1,319.57
1964-05-01,1964.375,1964,5,322.25
1964-06-01,1964.458,1964,6,321.89
1964-07-01,1964.542,1964,7,320.44
1964-08-01,1964.625,1964,8,318.7
1964-09-01,1964.708,1964,9,316.7
1964-10-01,1964.792,1964,10,316.79
1964-11-01,1964.875,1964,11,317.79
1964-12-01,1964.958,1964,12,318.71
1965-01-01,1965.042,1965,1,319.44
1965-02-01,1965.125,1965,2,320.44
1965-03-01,1965.208,1965,3,320.89
1965-04-01,1965.292,1965,4,322.13
1965-05-01,1965.375,1965,5,322.16
1965-06-01,1965.458,1965,6,321.87
1965-07-01,1965.542,1965,7,321.39
1965-08-01,1965.625,1965,8,318.81
1965-09-01,1965.708,1965,9,317.81
1965-10-01,1965.792,1965,10,317.3
1965-11-01,1965.875,1965,11,318.87
1965-12-01,1965.958,1965,12,319.42
1966-01-01,1966.042,1966,1,320.62
1966-02-01,1966.125,1966,2,321.59
1966-03-01,1966.208,1966,3,322.39
1966-04-01,1966.292,1966,4,323.87
1966-05-01,1966.375,1966,5,324.01
1966-06-01,1966.458,1966,6,323.75
1966-07-01,1966.542,1966,7,322.39
1966-08-01,1966.625,1966,8,320.37
1966-09-01,1966.708,1966,9,318.64
1966-10-01,1966.792,1966,10,318.1
1966-11-01,1966.875,1966,11,319.79
1966-12-01,1966.958,1966,12,321.08
1967-01-01,1967.042,1967,1,322.07
1967-02-01,1967.125,1967,2,322.5
1967-03-01,1967.208,1967,3,323.04
1967-04-01,1967.292,1967,4,324.42
1967-05-01,1967.375,1967,5,325
1967-06-01,1967.458,1967,6,324.09
1967-07-01,1967.542,1967,7,322.55
1967-08-01,1967.625,1967,8,320.92
1967-09-01,1967.708,1967,9,319.31
1967-10-01,1967.792,1967,10,319.31
1967-11-01,1967.875,1967,11,320.72
1967-12-01,1967.958,1967,12,321.96
1968-01-01,1968.042,1968,1,322.57
1968-02-01,1968.125,1968,2,323.15
1968-03-01,1968.208,1968,3,323.89
1968-04-01,1968.292,1968,4,325.02
1968-05-01,1968.375,1968,5,325.57
1968-06-01,1968.458,1968,6,325.36
1968-07-01,1968.542,1968,7,324.14
1968-08-01,1968.625,1968,8,322.03
1968-09-01,1968.708,1968,9,320.41
