country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,23.9,23.9,25,26,27.1,28.1,29.2,30.3,31.4,32.5,33.6,34.7,35.8,36.9,38.1,39.2
Albania,88.3,89.1,89.9,90.7,91.4,92.2,92.9,93.6,94.3,94.9,95.6,96.2,96.8,97.3,97.7,97.7
Algeria,83.7,84.1,84.4,84.7,85,85.3,85.6,85.8,86.1,86.3,86.6,86.8,87,87.2,87.3,87.5
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Angola,20.5,21.7,23,24.2,25.5,26.7,28,29.3,30.5,31.8,33.1,34.3,35.6,36.9,38.2,39.4
Antigua and Barbuda,82.4,82.8,83.2,83.6,84,84.4,84.8,85.2,85.5,85.9,86.3,86.7,87.1,87.5,87.5,87.5
Argentina,94.8,94.8,94.8,94.8,94.8,94.8,94.9,94.9,94.9,94.9,94.9,94.9,94.8,94.8,94.8,94.8
Armenia,90.4,90.4,90.5,90.6,90.7,90.8,90.9,91,91.1,91.1,91.2,91.3,91.3,91.4,91.5,91.6
Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,65.6,67.2,68.8,70.5,72.1,73.7,75.3,76.8,78.4,80,81.6,83.2,84.7,86.3,87.9,89.3
Bahamas,88.6,88.9,89.2,89.4,89.7,90,90.3,90.6,90.9,91.2,91.4,91.7,92,92,92,92
Bahrain,99.8,99.9,99.9,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100,100,100
Bangladesh,25.3,26.8,28.3,29.8,31.3,32.7,34.2,35.6,37.1,38.5,39.9,41.4,42.8,44.2,45.5,46.9
Barbados,87.9,88.5,89.1,89.7,90.3,90.9,91.5,92.2,92.8,93.4,94,94.6,95.2,95.8,96.5,96.5
Belarus,95,95,94.9,94.9,94.9,94.8,94.7,94.7,94.6,94.6,94.5,94.4,94.4,94.3,94.3,94.3
Belgium,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5
Belize,82.6,82.9,83.2,83.5,83.8,84.1,84.4,84.7,85,85.3,85.6,85.9,86.2,86.5,86.8,87.2
Benin,9.97,10.2,10.5,10.7,11,11.2,11.5,11.7,12,12.3,12.5,12.8,13.1,13.4,13.6,13.9
Bhutan,53.2,53.5,54.3,55.2,56,56.8,57.4,58.1,58.7,59.4,60,60.6,61.2,61.8,62.3,62.9
Bolivia,38.3,39.2,40.2,41.1,42.1,43,44,44.9,45.9,46.9,47.8,48.8,49.7,50.7,51.7,52.6
Bosnia and Herzegovina,94.9,94.9,94.9,94.9,94.9,94.9,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8
Botswana,54.3,54.9,55.4,55.8,56.2,56.6,57,57.4,57.8,58.2,58.6,59,59.4,59.8,59.9,60
Brazil,73.3,74.2,75.1,76,76.9,77.8,78.6,79.5,80.3,81.2,82,82.9,83.7,84.5,85.3,86.1
Brunei,,,,,,,,96.4,96.4,96.4,96.4,96.3,96.3,96.3,96.3,96.3
Bulgaria,85.8,85.8,85.8,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,86,86,86,86
Burkina Faso,9.59,9.89,10.8,11.7,12.6,13.5,14.5,15.4,16.3,17.2,18.1,19,19.9,20.8,21.7,22.5
Burundi,41.5,42.1,42.7,43.4,44,44.7,45.3,45.9,46.6,47.2,47.9,48.5,49.2,49.8,50.5,50.5
Cambodia,12.3,14.7,17.1,19.5,21.9,24.4,26.8,29.2,31.6,34.1,36.5,39,41.4,43.9,46.3,48.8
Cameroon,39.8,39.7,39.6,39.5,39.4,39.3,39.3,39.2,39.1,39.1,39,39,38.9,38.9,38.9,38.8
Canada,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5
Cape Verde,37.5,39.6,41.8,43.9,46.1,48.2,50.3,52.4,54.5,56.6,58.7,60.8,62.8,64.4,64.8,65.2
Central African Republic,15,15.8,16.6,17.4,18.1,18.9,19.7,20.5,21.4,22.2,23,23.9,24.8,24.9,25,25.1
Chad,9.9,9.87,9.84,9.8,9.77,9.74,9.71,9.68,9.64,9.62,9.59,9.57,9.55,9.55,9.54,9.55
Chile,91.9,92.5,93.1,93.7,94.3,94.9,95.5,96.1,96.7,97.2,97.7,98.3,98.8,99.2,99.8,99.9
China,60.6,61.1,62.1,63.1,64.1,65.1,66.2,67.1,68.1,69.1,70.1,71.1,72.1,73.1,74.1,75
Colombia,75.8,76.4,77,77.7,78.3,78.9,79.5,80,80.6,81.2,81.8,82.3,82.8,83.4,83.9,84.4
Comoros,26.8,27.4,27.9,28.4,28.9,29.4,29.9,30.4,31,31.5,32,32.5,33.1,33.6,34.1,34.2
"Congo, Dem. Rep.",22.4,22.2,22,21.8,21.6,21.4,21.3,21.1,20.9,20.7,20.6,20.4,20.2,20,19.9,19.7
"Congo, Rep.",12.7,12.8,12.9,13.1,13.2,13.4,13.6,13.7,13.9,14.1,14.3,14.4,14.6,14.8,14.9,15
Costa Rica,94.2,94.4,94.7,94.9,95.1,95.3,95.5,95.7,95.9,96.1,96.3,96.5,96.7,96.8,97,97.1
Cote d'Ivoire,22.4,22.9,23.3,23.8,24.3,24.8,25.3,25.8,26.3,26.8,27.4,27.9,28.4,28.9,29.4,29.9
Croatia,97.1,97.1,97.2,97.2,97.2,97.2,97.3,97.3,97.3,97.3,97.3,97.4,97.4,97.4,97.4,97.5
Cuba,89.2,89.3,89.4,89.6,89.7,89.8,89.9,90,90.1,90.2,90.3,90.4,90.5,90.6,90.7,90.8
