country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Afghanistan,14.6,14.6,14.7,14.7,14.7,14.8,14.7,14.5,14.4,14.3,14.3,14.5,14.8,15.1,15.4,15.6,15.3,14.9,14.7,14.6,14.6,15.2,15.9,16.7,17.6,18.6,19.3,19.4,19.4,19.5,19.5,19.6,19.7,19.7,19.8,19.9,19.9,20,20,20.1,20.2
Albania,66.5,67.7,68,67.6,67.3,66.9,66.7,67,66.8,66.5,66.3,66.2,66.1,66.5,66.9,67.3,67.6,67.9,68.2,66.1,68.5,69,69.5,65.7,66.9,71.6,71.7,71.8,71.9,71.9,72,72,72,72,72,72,72.1,72.2,72.3,72.4,72.6
Algeria,10.6,10.7,10.9,11.1,11.3,11.5,11.8,12.3,12.8,13.3,13.8,14.4,15,15.7,16.3,17,17.7,18.5,19.3,20.1,20.1,21.2,22.4,23.6,21.7,21.5,21.3,21.5,21.7,21.8,22,22.2,22.3,22.4,22.6,22.7,22.8,23,23.1,23.3,23.5
Angola,87,87,86.9,86.8,86.9,87,87.1,87.2,87.3,87.4,87.5,87.5,87.4,87.5,87.5,87.7,87.7,87.8,87.9,87.9,87.9,87.9,87.9,88,88,88.1,88.2,88.2,88.3,88.3,88.4,88.4,88.5,88.5,88.6,88.6,88.7,88.7,88.8,88.8,88.9
Argentina,60.6,61.6,62.6,63.5,64.3,64.5,65.3,66.1,66.6,66.7,67,67.2,66.8,67.6,68.4,67.5,67.7,67.2,66.8,68.1,65.1,67.6,68,67.9,66.7,67.2,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.3,67.3
Armenia,61.3,61.5,61.9,62.3,62.7,63.2,63.6,64,64.4,64.7,64.9,64.9,64.9,64.8,64.6,64.5,64.3,64,63.8,63.6,64.2,67.7,67.6,67.1,66,64.1,64,64.3,64.7,65.1,65.6,66.1,66.6,67.2,67.8,68.4,68.9,69.5,70,70.4,70.8
Australia,66.8,67.1,67.3,67.2,67.8,69,69,69.3,69.3,69.4,70.5,71.1,71.6,72.5,71.9,73.7,74.2,74.8,75.4,75.6,75.2,75.6,75.6,75.8,75.9,76.5,76.8,77.1,77.3,77.5,77.7,77.9,78.2,78.4,78.6,78.9,79.1,79.4,79.6,79.8,80.1
Austria,63.8,64.9,66.9,68.9,71.7,73.4,73.8,74.2,75.3,76.3,76.8,77,79.2,79.7,78.7,79.5,80.1,80.5,80.9,82.1,82.4,83.2,84,84.5,84.5,84.4,84.9,85.1,85.4,85.6,85.8,86.1,86.3,86.6,86.9,87.1,87.4,87.7,87.9,88.2,88.5
Azerbaijan,70.4,70.5,71.2,72,72.9,73.4,73.5,73.4,73.2,73.1,75.1,76.9,78.6,80.2,81.6,83,84.2,85.4,84.8,84,83,81.7,82.6,83,82.8,83,82.9,83,83,83.1,83.2,83.4,83.6,83.8,84.2,84.5,84.9,85.4,85.8,86.3,86.8
Bahamas,78.7,80.2,81.5,82.8,83.9,84.3,84.6,84.9,85.5,86,86.4,86.8,87.3,87.5,87.9,88.4,88.7,88.9,89.1,89.3,89.7,89.9,90.1,90.3,90.4,90.4,90.4,90.6,90.8,91,91.3,91.5,91.7,91.9,92.1,92.3,92.5,92.8,93,93.2,93.4
