country,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,250,270,330,360,460,500,560,670,680,650,600,580,570
Albania,,,,,,,,,,,,,,,,,,,,,,,,,720,760,760,790,680,420,300,320,400,660,920,830,900,1010,1170,1330,1410,1690,2150,2670,3090,3480,3950,4230,4360,4410,4360,4540,4540,4390,4320,4320
Algeria,190,230,240,240,230,250,280,310,330,310,430,530,710,910,1050,1140,1350,1670,2010,2220,2280,2210,2260,2390,2590,2810,2750,2540,2360,1990,1890,1720,1610,1550,1510,1500,1530,1530,1590,1660,1720,1920,2240,2700,3090,3580,4200,4270,4460,4580,5140,5480,5470,4830,4360,3960
Angola,,,,,,,,,,,,,,,,,,,,,,,,560,640,630,630,830,760,1350,1140,,320,430,310,420,390,330,360,390,540,610,800,1090,1490,2150,2760,3190,3240,3390,3800,4340,4440,4030,3450,3330
Antigua and Barbuda,,,,,,,,,,,,,,,,,,1520,1830,2060,2110,2320,2770,3200,3560,4440,5560,6000,6390,6810,7030,7480,7920,7590,8070,8370,8500,8770,9230,8950,8770,9570,10400,11300,12600,13900,14100,12600,11800,11500,11900,12000,12500,12900,13600,14200
Argentina,,,,,,,,,,2070,1320,1230,2110,2460,2220,2150,2170,2600,2940,2810,2570,2800,2820,2650,3010,3600,3900,2910,3170,3950,6280,7070,7540,7330,7700,8110,7990,7540,7440,6960,3930,3550,3560,4600,5450,6470,7610,7730,9170,10600,11800,12800,12300,12300,11900,13000
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,330,400,460,520,560,590,610,660,710,800,960,1170,1540,2020,2760,3600,3330,3470,3530,3880,4120,4150,4030,3770,4000
Australia,1870,1970,2100,2270,2340,2530,2730,2970,3270,3470,3880,4640,5940,7210,7860,8070,8460,9580,10800,11900,12100,11600,12000,12000,12300,12500,14100,15600,17300,18200,18500,18900,18800,19300,20400,21900,21700,21400,21100,20100,20000,21100,25500,30300,34100,37300,42300,44000,46600,50200,60100,65900,65000,60400,54100,51400
Austria,1060,1140,1240,1340,1470,1560,1680,1850,2070,2320,2760,3580,4650,5540,5980,6660,7540,9620,11500,11200,10400,9600,9270,9360,10800,13800,18100,19300,20600,21800,24500,24900,26100,28200,30100,29600,28000,27100,26800,25300,25000,28000,33800,38700,41500,44500,49100,49000,49600,50600,50100,50700,50400,47600,45900,45400
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,430,400,400,450,510,570,610,660,720,820,950,1270,1890,2710,3900,4830,5410,5560,6480,7450,7700,6550,4760,4080
