country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,,,,,,,,,,,,,,,,,,27,,,,,,31.7,,,30.6,,,30,,,,29,,,,,
Algeria,,,,,,,,,,40.2,,,,,,,35.3,,,,,,,,,,,,,,,,27.6,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,42.7,,,,,,,,,
Argentina,,40.8,,,,,,42.8,45.3,,,,46.8,45.5,44.9,45.9,48.9,49.5,49.1,50.7,49.8,51.1,53.3,53.8,50.7,48.3,47.7,46.6,46.3,44.5,43.9,43,42.3,41.2,41,41.4,,42.4,
Armenia,,,,,,,,,,,,,,,,,,,,,36.2,,35.4,34.8,33,37.5,36,29.7,31.2,29.2,28,30,29.4,29.6,30.6,31.5,32.4,32.5,
Australia,,,31.3,,,,32.5,,,,33.2,,,,,,32.6,,,,,,33.5,,33.5,,,,,35.4,,34.7,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,29.5,29.8,28.7,29.6,30.6,30.4,31.5,30.3,30.8,30.5,30.8,30.5,30.5,,
Azerbaijan,,,,,,,,,,,,,,,,,34.7,,,,,,36.5,17.4,18.8,16.2,16.6,,,,,,,,,,,,
Bangladesh,,,,,25.9,,26.9,,,28.8,,,27.6,,,,32.9,,,,,33.4,,,,,33.2,,,,,32.1,,,,,,32.4,
Belarus,,,,,,,,,,,,,,,,,,,,32,31.7,31.2,30.6,30.3,28.8,26.5,27.6,28.3,29.6,27.8,27.7,28.6,27.2,26.5,26.6,27.2,26.7,27,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,28.1,30.5,29.3,28.1,29.2,28.4,28.5,28.4,28.1,27.5,27.7,28.1,27.7,,
Belize,,,,,,,,,,,,,,,60.3,60.9,,56.6,60.4,54.9,53.3,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,38.6,,,,,,,,43.4,,,,47.8,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,,,38.1,,,,,38.8,,,,,37.4
Bolivia,,,,,,,,,,,,42,,,,,,,58.2,,58.1,61.6,57.4,59.3,,55,58.5,56.7,54.5,50.8,49.2,,46.1,46.6,47.6,47.8,46.7,44.6,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,30,,,34,,,33.1,,,,33,,,,32.7,,
Botswana,,,,,,,54.2,,,,,,,,60.8,,,,,,,,,64.7,,,,,,,60.5,,,,,,,,
Brazil,,,58,58.4,59,58.4,55.6,58.5,59.7,61.4,63.3,60.5,,53.2,60.1,,59.6,59.9,59.8,59.6,59,,58.4,58.1,57.6,56.5,56.3,55.6,54.9,54,53.7,,52.9,52.6,52.8,51.5,51.3,,
Bulgaria,,,,,,,,,,,,,,30.7,,,,,,,,,,,,,,35.7,36.1,33.6,33.8,35.7,34.3,36,36.6,37.4,,,
Burkina Faso,,,,,,,,,,,,,,,,48.1,,,,49.9,,,,,43.3,,,,,,39.8,,,,,35.3,,,
Burundi,,,,,,,,,,,,,,33.3,,,,,,42.3,,,,,,,,33.4,,,,,,,38.6,,,,
Cameroon,,,,,,,,,,,,,,,,,,44.4,,,,,42.1,,,,,,42.8,,,,,,,46.6,,,
Canada,,,32.4,,,,,,31.5,,,,31,,,31.3,,,31.6,33.2,,33.3,,,,33.7,,,33.8,,,33.6,,,34,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,52.5,,,,,,47.2,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,61.3,,,,,,,,,,,43.6,,,,,56.2,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,39.8,,,,,,,,43.3,,,,,,
Chile,,,,,,,,,56.2,,,57.2,,54.8,,56.4,,54.9,,55.5,,52.8,,,51.5,,,48.2,,,49,,47.6,,47.3,,47.7,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8,,,,42.2,,,,,
Colombia,,,,,,,,,,,,,,51.5,,,,56.9,,,58.7,58.7,57.2,55.8,53.4,54.8,53.7,,,55.4,54.5,54.8,53.6,52.9,52.9,52.8,51.1,50.8,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,55.9,,,,,,,,,45.3,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,42.2,,,,,,,,42.1,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,47.3,,,,,,48.9,,,,,,
Costa Rica,,,47.5,,,,,34.4,,,46.7,45.3,46.6,45.7,46,46.8,45.7,46.5,45.6,45.7,47.7,47.4,51.6,51.9,49.3,48.3,47.5,49.4,49.3,48.7,50.6,48.2,48.7,48.6,49.3,48.6,48.4,48.7,
Cote d'Ivoire,,,,,,,45.5,38,40.5,36.9,,,,39.4,,,40.6,,,39,,,,41.3,,,,,,43.2,,,,,,,41.5,,
Croatia,,,,,,,,,,22.8,,,,,,,,,,,,,,,,,,,,,32.6,32.4,32.3,32.5,32,32.1,31.1,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,30.3,31.1,31.1,31.7,32.1,31.5,32.6,34.3,37,35.6,34,,
Czech Republic,,,,,,,,,,,,,,,26.6,,,25.8,,,,,,,,27.5,26.9,26.7,26,26.3,26.2,26.6,26.4,26.1,26.5,25.9,25.9,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,25.6,24.9,25.2,25.9,26.2,25.2,26.7,27.2,27.3,27.8,28.5,28.4,28.2,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,45.1,44.1,,,,
Dominican Republic,,,,,,,,47.8,,,50.5,,,51.4,,,,47.4,48.9,,,52,50.4,50,52,52,49.9,51.8,48.6,47.8,48.5,46.9,47.4,45.6,47,44.1,44.7,45.3,
Ecuador,,,,,,,,,50.5,,,,,,,53.4,,,,49.7,58.6,56.4,,,53.4,53.9,53.1,52.2,53.3,49.7,48.4,48.7,45.9,46.1,46.9,45,46,45,
Egypt,,,,,,,,,,,,32,,,,,30.1,,,,32.8,,,,,31.8,,,,31.1,,31.5,,29.8,,,31.8,,
El Salvador,,,,,,,,,,,,,54,,,,49.9,51,,54.5,52.2,51.5,51.4,51.9,50.4,47.8,48.5,45.7,45.2,46.9,45.8,43.5,42.3,41.8,43.4,41.6,40.6,40,
Estonia,,,,,,,,,,,,,,,39.5,,,,,,,,,,37.2,33.6,33.4,33.7,31.2,31.9,31.4,32,32.5,32.9,35.1,34.6,32.7,,
Ethiopia,,,,,,,,,,,,,,,,,44.6,,,,30,,,,,29.8,,,,,,33.2,,,,,39.1,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,38.1,,,,,,40.4,,,,,36.7,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,27.7,27.9,27.6,28,28.3,27.8,27.5,27.7,27.6,27.1,27.2,26.8,27.1,,
France,,,,,,,,,,,,,,,,,,,,,,,,,31.4,30.6,29.8,29.7,32.4,33,32.7,33.7,33.3,33.1,32.5,32.3,32.7,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,,,,,,,,,,,,38
Gambia,,,,,,,,,,,,,,,,,,,,48.5,,,,,47.3,,,,,,,43.6,,,,,35.9,,
Georgia,,,,,,,,,,,,,,,,,,37.1,40.7,41.3,40.1,40.5,39.6,37.3,36.7,36.3,37.3,36.9,38.3,38.2,38.1,40.1,39.5,38.8,38.4,37.3,36.4,36.5,
Germany,,,,,,,,,,,,,29.2,,,29.2,,,,,,28.8,30.3,,,30.4,,31.3,31.3,,,30.2,30.5,,31.1,,31.7,,
Ghana,,,,,,,,,35.3,36,,,38.4,,,,,,,40.1,,,,,,,42.8,,,,,,,42.4,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,32.8,33.6,34.6,35.1,34,33.6,33.6,34.1,34.8,36.2,36.1,35.8,36,,
Guatemala,,,,,,,,58.3,,,59.6,,,,,,,,,,,54.2,,,,,,54.6,,,,,,,,48.3,,,
Guinea,,,,,,,,,,,,,46.8,,,46.1,,,,,,,,43,,,,,39.4,,,,,33.7,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,43.6,,,,,,,,,35.6,,,,,,,,50.7,,,,,,,
