country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Afghanistan,88.5,88.4,88.4,88.4,88.3,88.2,88.2,88.2,88.2,88.3,88.3,88.4,88.5,88.6,88.7,88.8,88.7,88.7,88.6,88.5,88.4,88.3,88.3,88.4,88.4,88.5,88.5,88.6,88.6,88.6,88.6,88.7,88.7,88.8,88.9,88.9,89.1,89.2,89.3,89.5,89.6
Albania,77.6,77.5,77.5,77.6,77.6,77.4,77.7,78,78.2,78.3,78.3,78.1,77.8,76.8,75.7,74.7,73.8,72.9,72.2,73,71.8,72.9,74,70.7,72.5,74.3,74.4,74.5,74.7,74.9,75.1,75.4,75.7,76,76.2,76.4,76.5,76.4,76.3,76.2,76
Algeria,80,80.5,80.6,81.2,81.6,81.4,81.3,80.6,80,79.4,78.8,78.2,77.6,77.1,76.6,76.1,75.6,75.2,74.7,74.3,74.7,74.3,73.8,75.2,72.4,72.6,72.8,73,73.1,73.1,73,72.7,72.3,71.8,71.2,70.5,69.9,69.3,68.6,68.1,67.6
Angola,81.6,81.6,81.6,81.7,81.4,81.2,81.1,81.1,81,80.9,80.7,80.8,80.8,80.8,80.7,80.5,80.5,80.4,80.4,80.5,80.5,80.6,80.6,80.5,80.5,80.3,80.2,80.1,80,79.9,79.8,79.7,79.6,79.6,79.5,79.4,79.4,79.4,79.4,79.5,79.5
Argentina,81.8,81.8,81.8,81.7,81.6,81.4,81.5,81.6,81.8,81.8,81.9,81.9,81.7,81.9,82.1,81.9,82,81.6,81.2,81.2,80.8,81.2,81,80.8,80.2,80.2,80.2,80.2,80.1,80.1,80,80,80,79.9,79.9,79.9,79.8,79.8,79.7,79.7,79.6
Armenia,72.7,72.9,73.1,73.1,73,72.9,72.5,72.1,71.7,71.2,70.8,70.6,70.5,70.4,70.5,70.6,70.8,71.2,71.5,72,76.4,75.6,75.3,75.4,75.7,75.1,75.3,75.7,76,76.2,76.4,76.5,76.6,76.6,76.5,76.5,76.6,76.6,76.7,76.8,77
Australia,85.1,84.2,83.8,83.4,83.6,83.9,83.8,83.2,83,82.6,82.4,82.3,82.3,82,82.1,82.7,82.7,82.9,83,82.5,82.8,82.8,82.4,82.3,82.1,82.8,82.4,82.4,82.5,82.5,82.5,82.5,82.4,82.4,82.3,82.3,82.3,82.3,82.3,82.3,82.3
Austria,80.2,80.4,80.6,80.5,80.5,80.7,80.3,79.7,79.8,80.1,79.8,78.9,79.6,79.7,76.2,77.8,78.3,79.4,79.6,79.7,79.9,80,80.3,80.4,79.9,80,80.7,80.6,80.5,80.3,80.2,80.1,79.9,79.8,79.7,79.6,79.5,79.5,79.5,79.5,79.5
Azerbaijan,73.2,73.4,74.4,75,75.3,75.3,75.4,75.5,75.4,75.4,74.5,73.7,72.9,72.1,71.4,70.6,70,69.3,69.8,70.3,70.8,71.3,71.6,72,72.5,72.8,74,73.9,73.8,73.7,73.6,73.4,73.3,73.1,72.9,72.7,72.4,72.1,71.8,71.5,71.3
Bahamas,81.9,83,84,84.9,85.7,85.7,85.8,85.8,85.6,85.3,85.2,85.3,85.5,85.7,85.8,85.8,85.9,86,86.2,86.4,86.4,86.5,86.6,86.8,87.1,87.4,87.7,87.9,88.2,88.4,88.5,88.6,88.5,88.4,88.3,88.3,88.2,88.2,88.2,88.3,88.3
Bahrain,89.7,89,88.8,88.8,89,89.3,88.7,88.2,88,88,88.2,87.3,86.7,86.6,86.9,87.3,86.9,86.9,87.3,87.8,88.3,87.6,87.9,88.1,88.2,88.1,88.1,88.1,88.2,88.4,88.7,88.1,87.7,87.6,87.6,87.6,87,86.6,86.2,86.1,86.1
Bangladesh,89.7,89.6,89.5,89.5,89.4,89.4,89.2,89.1,89,88.9,88.7,88.6,88.5,88.3,88.2,88,87.9,87.3,86.8,86.2,85.6,85.1,84.5,83.9,83.2,82.6,81.9,81.9,81.9,81.9,82,82,82,82.1,82.2,82.2,82.2,82.3,82.3,82.3,82.4
Barbados,85.5,82.9,84.2,85,85.7,86.4,84.3,85.4,85.2,85,84.7,84.6,84.4,84.3,85.1,84.8,84.4,83.9,83.4,82.9,82.3,82.2,81.7,81.4,79,80.2,80.7,80.5,80.2,80,79.8,79.6,79.4,79.2,79.1,78.9,78.8,78.7,78.5,78.4,78.3
Belarus,73.9,73.9,74,74.2,74.4,74.4,74.4,74.1,73.9,73.8,74.1,74.5,74.9,75.5,76,76.4,76.7,77.1,77.4,77.8,78.2,78.6,79.1,79.6,80,80.3,80.6,80.5,80.4,80.3,80.1,80,79.8,79.6,79.4,79.2,79,78.9,78.8,78.7,78.6
Belgium,71.3,71.9,71.7,71.2,72.1,72.4,72.3,72.3,72.5,73.1,73.8,72.6,72.5,72.4,72.6,73.9,73.5,73.9,73.5,73,73.5,72.3,72.4,72.7,72.5,72.3,72.5,72.4,72.3,72.2,72.1,72,71.9,71.7,71.6,71.4,71.3,71.3,71.3,71.2,71.2
Belize,84.2,84.1,83.8,83.8,83.9,84.3,84.4,84.2,84.1,84,84.1,84,84.1,84.1,84.1,84,84.3,84.5,84.6,84.7,84.8,85.4,85.8,85.1,84.3,83.4,83.5,83.7,83.8,84,84.2,84.4,84.6,84.8,85,85.1,85.2,85.3,85.4,85.4,85.5
Benin,89.6,89.6,89.6,88.7,87.8,86.9,85.9,84.8,83.7,82.6,81.4,80.1,78.8,78.2,77.5,76.8,76.1,75.4,74.6,73.9,73.1,74,73.9,73.8,73.6,73.5,73.4,73.4,73.4,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.6,73.6,73.7
Bhutan,77.7,77.4,77,76.7,76.4,76.1,75.9,75.7,75.6,75.5,75.4,75.4,75.6,75.9,76.4,76.9,77,77.2,77.3,77.4,76,74.4,69.1,74.6,73.8,76.2,76.4,76.5,76.7,76.8,76.8,76.8,76.7,76.6,76.5,76.4,76.3,76.2,76,75.9,75.7
Bolivia,82.3,82.5,82.4,82.4,82.6,82.7,82.9,83.1,83,82.9,82.7,83,83.4,83.7,84,84.3,84.6,83.5,83.3,83.4,83.7,84,81.9,81.6,83.8,81.7,81.9,81.9,82,82,82.1,82.2,82.3,82.4,82.5,82.6,82.7,82.8,82.9,83,83
Bosnia and Herzegovina,67.3,67.4,67.6,67.7,67.8,67.8,67.9,67.9,67.9,67.9,68,68.1,68.3,68.6,68.7,69.1,69,68.9,68.8,68.7,68.5,68.4,68.2,68,67.7,67.9,68.7,68.8,69.1,69.3,69.4,69.5,69.5,69.5,69.5,69.6,69.6,69.7,69.8,69.9,69.8
Botswana,78.8,78.2,77.7,77.1,76.5,75.8,75.1,74.3,73.6,71.7,69.6,70,70.6,71.1,71.7,72.3,72.8,72.4,71.9,71.5,68.3,73.1,76.8,79.6,79.5,79.6,79.6,79.9,80.1,80.4,80.5,80.7,80.8,80.9,80.9,80.9,80.9,80.9,80.8,80.8,80.7
Brazil,86.4,86.1,85.8,85.5,85.1,84.8,84.4,84,83.6,83.2,82.9,82.5,82.8,82.6,83.2,83.1,83,82.8,82.8,82.9,82.2,81.5,81,81,80.8,80.7,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.3,80.3,80.2,80.2,80.1
Brunei,83.8,83.7,83.4,83.2,83.1,83,82.8,82.6,82.4,82.3,82.2,81.5,81,80.8,80.7,80.6,80.1,79.6,79.3,79.2,79.1,79.1,78.9,78.7,78.5,78.1,77.9,77.8,77.8,77.8,77.8,77.9,77.9,78,78,78,77.9,77.8,77.6,77.4,77.2
Bulgaria,71.4,71.5,71.6,71,70.4,69.8,69.2,68.7,68.2,67.5,66.7,68,67.2,66.4,67.5,67.4,69.4,71.4,73.6,72.8,71.2,70,70.9,72.2,73,73.3,72.8,73.1,73.3,73.4,73.5,73.5,73.4,73.2,73.1,73,72.9,72.9,72.9,72.9,72.9
Burkina Faso,91.7,91.7,91.5,91.2,90.9,90.6,90.3,90,89.7,89.3,89,88.7,88.4,88.1,87.8,87.4,87.1,86.1,85,83.8,82.5,81.2,79.7,78.2,76.5,76.4,76.2,76.1,76,75.8,75.7,75.6,75.4,75.3,75.2,75,74.9,74.8,74.7,74.7,74.6
