StudentID,Assesment,Score
1,Exam 1,91
1,Exam 2,90
1,Final Exam,87
2,Exam 1,73
2,Exam 2,76
2,Final Exam,53
3,Exam 1,71
3,Exam 2,90
3,Final Exam,80
4,Exam 1,92
4,Exam 2,98
4,Final Exam,90
5,Exam 1,87
5,Exam 2,87
5,Final Exam,81
6,Exam 1,95
6,Exam 2,88
6,Final Exam,89
7,Exam 1,97
7,Exam 2,101
7,Final Exam,94
8,Exam 1,91
8,Exam 2,96
8,Final Exam,91
9,Exam 1,89
9,Exam 2,94
9,Final Exam,99
10,Exam 1,86
10,Exam 2,89
10,Final Exam,79
11,Exam 1,90
11,Exam 2,75
11,Final Exam,96
12,Exam 1,84
12,Exam 2,83
12,Final Exam,79
13,Exam 1,90
13,Exam 2,89
13,Final Exam,90
14,Exam 1,59
14,Exam 2,66
14,Final Exam,83
15,Exam 1,85
15,Exam 2,81
15,Final Exam,68
16,Exam 1,85
16,Exam 2,80
16,Final Exam,58
17,Exam 1,87
17,Exam 2,80
17,Final Exam,77
18,Exam 1,85
18,Exam 2,79
18,Final Exam,81
19,Exam 1,62
19,Exam 2,48
19,Final Exam,66
20,Exam 1,89
20,Exam 2,79
20,Final Exam,56
21,Exam 1,94
21,Exam 2,69
21,Final Exam,81
22,Exam 1,85
22,Exam 2,51
22,Final Exam,70
23,Exam 1,100
23,Exam 2,83
23,Final Exam,90
24,Exam 1,88
24,Exam 2,79
24,Final Exam,92
25,Exam 1,88
25,Exam 2,96
25,Final Exam,97
26,Exam 1,89
26,Exam 2,94
26,Final Exam,93
27,Exam 1,92
27,Exam 2,95
27,Final Exam,92
28,Exam 1,80
28,Exam 2,72
28,Final Exam,75
29,Exam 1,81
29,Exam 2,80
29,Final Exam,79
30,Exam 1,97
30,Exam 2,95
30,Final Exam,93
31,Exam 1,100
31,Exam 2,96
31,Final Exam,94
32,Exam 1,94
32,Exam 2,99
32,Final Exam,93
33,Exam 1,91
33,Exam 2,88
33,Final Exam,85
34,Exam 1,84
34,Exam 2,75
34,Final Exam,85
35,Exam 1,91
35,Exam 2,97
35,Final Exam,94
36,Exam 1,74
36,Exam 2,91
36,Final Exam,77
37,Exam 1,94
37,Exam 2,102
37,Final Exam,82
38,Exam 1,100
38,Exam 2,99
38,Final Exam,98
39,Exam 1,80
39,Exam 2,81
39,Final Exam,73
40,Exam 1,87
40,Exam 2,61
40,Final Exam,73
41,Exam 1,70
41,Exam 2,59
41,Final Exam,57
42,Exam 1,91
42,Exam 2,85
42,Final Exam,87
43,Exam 1,93
43,Exam 2,73
43,Final Exam,72
44,Exam 1,90
44,Exam 2,80
44,Final Exam,85
45,Exam 1,88
45,Exam 2,93
45,Final Exam,79
46,Exam 1,86
46,Exam 2,83
46,Final Exam,82
47,Exam 1,85
47,Exam 2,96
47,Final Exam,91
