carat,cut,color,clarity,depth,table,price,x,y,z
0.5,Fair,F,I1,69.8,55,584,4.89,4.8,3.38
1.2,Fair,F,I1,64.6,56,2809,6.73,6.66,4.33
2.02,Fair,G,I1,68,55,6346,7.77,7.72,5.27
2.52,Fair,G,I1,66.9,57,10076,8.39,8.33,5.6
1,Fair,G,I1,61.7,57,2723,6.39,6.28,3.91
0.85,Fair,H,I1,66.9,54,1250,5.98,5.75,3.94
0.85,Fair,H,I1,61,61,1324,6.2,6,3.73
0.96,Fair,H,I1,61.5,63,1637,6.22,6.06,3.78
1.52,Fair,I,I1,67.7,58,3745,7.07,7,4.76
1.17,Fair,I,I1,65.4,62,2935,6.68,6.57,4.33
2.74,Fair,J,I1,64.9,61,8807,8.76,8.66,5.65
1.21,Good,E,I1,64,57,4201,6.73,6.67,4.29
0.72,Good,F,I1,63.6,58,1166,5.72,5.62,3.6
0.41,Good,G,I1,63.8,56,600,4.74,4.7,3.01
1,Good,H,I1,57.6,61,2940,6.67,6.6,3.82
1,Very Good,E,I1,63,57,3300,6.32,6.35,3.99
0.93,Very Good,F,I1,61.3,59,2374,6.22,6.27,3.83
1.03,Very Good,G,I1,62.4,57,3060,6.41,6.45,4.01
3,Very Good,H,I1,63.1,55,6512,9.23,9.1,5.77
1.14,Premium,D,I1,61.8,59,3950,6.62,6.74,4.13
0.32,Premium,E,I1,60.9,58,444,4.42,4.38,2.68
1.19,Premium,E,I1,60.2,61,3572,6.91,6.87,4.15
1,Premium,F,I1,58.9,60,2841,6.6,6.55,3.87
0.53,Premium,F,I1,61.3,58,886,5.22,5.18,3.19
2.04,Premium,G,I1,62.4,58,9905,8.17,8.08,5.07
1.15,Premium,G,I1,61.2,58,3574,6.8,6.74,4.14
1,Premium,H,I1,60.4,61,1932,6.39,6.32,3.84
1.95,Premium,H,I1,60.3,59,5045,8.1,8.05,4.87
1.05,Premium,I,I1,61.8,56,2339,6.53,6.48,4.02
1.69,Premium,J,I1,60.2,61,5277,7.79,7.7,4.66
0.51,Ideal,D,I1,62.1,56,1071,5.15,5.06,3.17
0.32,Ideal,E,I1,60.7,57,490,4.45,4.41,2.69
1.21,Ideal,F,I1,62,56,4377,6.84,6.8,4.23
1.13,Ideal,F,I1,62.2,55,3607,6.68,6.63,4.14
1.02,Ideal,G,I1,61.5,56,3321,6.46,6.49,3.98
1.69,Ideal,H,I1,62,56,6636,7.61,7.66,4.73
1.7,Ideal,H,I1,61.3,55,6397,7.7,7.63,4.7
1.21,Ideal,I,I1,61.3,57,3686,6.94,6.89,4.24
0.9,Fair,D,SI2,65.9,59,3205,6,5.95,3.94
1.02,Fair,D,SI2,65.5,60,4381,6.27,6.24,4.1
0.9,Fair,D,SI2,64.9,57,3473,6.03,5.98,3.9
1,Fair,E,SI2,67,53,3136,6.19,6.13,4.13
0.5,Fair,E,SI2,64.7,57,945,4.98,4.88,3.19
0.9,Fair,E,SI2,65,58,2930,6.08,6.04,3.94
0.98,Fair,E,SI2,53.3,67,2855,6.82,6.74,3.61
1.01,Fair,F,SI2,66.7,64,3597,6.14,6.05,4.06
2.5,Fair,F,SI2,65.8,58,17405,8.38,8.31,5.49
1.71,Fair,F,SI2,64.9,57,8714,7.51,7.41,4.84
1.5,Fair,F,SI2,65.4,58,7644,7.17,7.1,4.67
1.2,Fair,G,SI2,65.5,59,4044,6.73,6.53,4.34
0.8,Fair,G,SI2,64.6,55,2318,5.86,5.75,3.75
2.01,Fair,G,SI2,56.2,63,12450,8.28,8.23,4.64
1.01,Fair,G,SI2,64.7,58,3856,6.14,6.23,4
1.03,Fair,H,SI2,67,61,4038,6.25,6.17,4.16
1.13,Fair,H,SI2,64.4,58,4113,6.59,6.51,4.22
1.24,Fair,H,SI2,65,54,5208,6.76,6.73,4.38
1.91,Fair,H,SI2,64.6,56,6632,7.76,7.7,4.99
1.52,Fair,H,SI2,64.9,58,6129,7.16,7.13,4.64
2,Fair,I,SI2,65.2,59,10483,7.74,7.69,5.03
2,Fair,I,SI2,69.1,56,8736,7.84,7.7,5.37
0.71,Fair,J,SI2,66.1,58,1362,5.53,5.43,3.62
0.56,Good,D,SI2,63.2,54,1258,5.24,5.26,3.32
1.5,Good,D,SI2,61.1,64,7862,7.35,7.26,4.46
1.11,Good,D,SI2,58,62,5015,6.77,6.81,3.94
1.01,Good,D,SI2,64,56,4234,6.25,6.29,4.01
1.02,Good,D,SI2,57.5,62,3909,6.62,6.6,3.8
0.32,Good,D,SI2,64.1,54,571,4.37,4.34,2.79
1.01,Good,D,SI2,63.9,57,4672,6.36,6.29,4.04
1.07,Good,D,SI2,61,62,4710,6.6,6.68,4.05
1.01,Good,D,SI2,63.8,61,3671,6.13,6.06,3.89
1.02,Good,D,SI2,57.5,62,3839,6.6,6.62,3.8
0.5,Good,D,SI2,63.1,56,958,5.05,4.96,3.16
1.01,Good,E,SI2,63.3,58,4168,6.3,6.36,4.01
0.5,Good,E,SI2,58.3,58,1101,5.23,5.2,3.04
1.01,Good,E,SI2,63.9,55,4440,6.38,6.33,4.08
1.01,Good,E,SI2,63.7,55,4118,6.38,6.31,4.05
0.9,Good,E,SI2,63.6,59,3584,6.05,6.09,3.86
1,Good,E,SI2,64.3,58,3450,6.18,6.11,3.95
0.5,Good,E,SI2,63.2,61,1000,5.02,5.05,3.18
1.01,Good,E,SI2,63.3,58,4149,6.29,6.35,4
0.52,Good,E,SI2,63.7,56,1229,5.15,5.12,3.27
0.4,Good,E,SI2,63.2,57,666,4.66,4.68,2.95
1.01,Good,F,SI2,63.1,58,4004,6.34,6.38,4.01
0.8,Good,F,SI2,63.9,57,2189,5.86,5.84,3.74
1,Good,F,SI2,63.8,58,4081,6.28,6.33,4.02
0.35,Good,F,SI2,63.8,56,591,4.48,4.45,2.85
0.72,Good,F,SI2,63.8,59,1609,5.64,5.58,3.58
1.16,Good,F,SI2,63.7,63,4395,6.55,6.63,4.2
1.01,Good,F,SI2,63.6,59,4072,6.38,6.34,4.04
1.1,Good,F,SI2,60.5,61,4674,6.61,6.67,4.02
0.35,Good,F,SI2,63.8,56,460,4.45,4.48,2.85
0.9,Good,F,SI2,63.1,57,3267,6.11,6.18,3.88
0.3,Good,G,SI2,63.7,54,506,4.25,4.23,2.7
0.37,Good,G,SI2,63.3,55,487,4.58,4.61,2.91
0.41,Good,G,SI2,63.4,58,611,4.7,4.73,2.99
2.01,Good,G,SI2,63.6,59,15977,8,7.95,5.07
1.01,Good,G,SI2,62.4,60,4150,6.32,6.38,3.96
1.14,Good,G,SI2,63.7,60,4233,6.69,6.6,4.24
0.91,Good,G,SI2,63.6,59,3340,6.11,6.15,3.9
0.4,Good,G,SI2,63.1,59,596,4.65,4.7,2.95
1.01,Good,H,SI2,65.7,60,3926,6.17,6.19,4.06
0.51,Good,H,SI2,56.7,60,1060,5.38,5.35,3.04
1,Good,H,SI2,63.2,60,3740,6.27,6.3,3.97
2.01,Good,H,SI2,57.6,60,12215,8.32,8.23,4.76
2.01,Good,H,SI2,62.3,60,14426,7.95,7.97,4.96
0.3,Good,H,SI2,63.9,56,368,4.24,4.27,2.72
0.7,Good,H,SI2,63.6,54,1999,5.67,5.62,3.59
1,Good,H,SI2,63.8,55,3640,6.28,6.24,4
2,Good,I,SI2,64.2,52,11400,7.91,7.88,5.07
2.22,Good,I,SI2,63.2,57,16398,8.23,8.28,5.22
2.14,Good,I,SI2,63.8,57,14452,8.17,8.14,5.2
0.41,Good,I,SI2,63.5,57,539,4.7,4.72,2.99
1.5,Good,J,SI2,63.7,58,5107,7.19,7.13,4.56
1.02,Good,J,SI2,63.4,56,3534,6.36,6.42,4.05
1.72,Good,J,SI2,63.2,57,7741,7.56,7.6,4.79
1.5,Very Good,D,SI2,64,56,10730,7.17,7.23,4.61
1.29,Very Good,D,SI2,61.9,58,6126,6.99,7.03,4.34
