State,ST,Population2018,Population2010,Representatives,VotingRepresentatives
Alabama,AL,4887871,4779736,7,7
Alaska,AK,737438,710231,1,1
American Samoa,AS,55641,55519,1,0
Arizona,AZ,7171646,6392017,9,9
Arkansas,AR,3013825,2915918,4,4
California,CA,39557045,37254523,53,53
Colorado,CO,5695564,5029196,7,7
Connecticut,CT,3572665,3574097,5,5
Delaware,DE,967171,897934,1,1
District of Columbia,DC,702455,601723,1,0
Florida,FL,21299325,18801310,27,27
Georgia,GA,10519475,9687653,14,14
Guam,GU,165718,159358,1,0
Hawaii,HI,1420491,1360301,2,2
Idaho,ID,1754208,1567582,2,2
Illinois,IL,12741080,12830632,18,18
Indiana,IN,6691878,6483802,9,9
Iowa,IA,3156145,3046355,4,4
Kansas,KS,2911505,2853118,4,4
Kentucky,KY,4468402,4339367,6,6
Louisiana,LA,4659978,4533372,6,6
Maine,ME,1338404,1328361,2,2
Maryland,MD,6042718,5773552,8,8
Massachusetts,MA,6902149,6547629,9,9
Michigan,MI,9995915,9883640,14,14
Minnesota,MN,5611179,5303925,8,8
Mississippi,MS,2986530,2967297,4,4
Missouri,MO,6126452,5988927,8,8
Montana,MT,1062305,989415,1,1
Nebraska,NE,1929268,1826341,3,3
Nevada,NV,3034392,2700551,4,4
New Hampshire,NH,1356458,1316470,2,2
New Jersey,NJ,8908520,8791894,12,12
New Mexico,NM,2095428,2059179,3,3
New York,NY,19542209,19378102,27,27
North Carolina,NC,10383620,9535483,13,13
North Dakota,ND,760077,672591,1,1
Northern Mariana Islands,MP,55194,53883,1,0
Ohio,OH,11689442,11536504,16,16
Oklahoma,OK,3943079,3751351,5,5
Oregon,OR,4190713,3831074,5,5
Pennsylvania,PA,12807060,12702379,18,18
Puerto Rico,PR,3195153,3725789,1,1
Rhode Island,RI,1057315,1052567,2,2
South Carolina,SC,5084127,4625364,7,7
South Dakota,SD,882235,814180,1,1
Tennessee,TN,6770010,6346105,9,9
Texas,TX,28701845,25145561,36,36
U.S. Virgin Islands,VI,104914,106405,1,0
Utah,UT,3161105,2763885,4,4
Vermont,VT,626299,625741,1,1
Virginia,VA,8517685,8001024,11,11
Washington,WA,7535591,6724540,10,10
West Virginia,WV,1805832,1852994,3,3
Wisconsin,WI,5813568,5686986,8,8
Wyoming,WY,577737,563626,1,1
