GEONAME,POP,Date,COUNTY,STATE,Race,Sex
"Apache County, Arizona",71518,2010-04-01,Apache County,Arizona,All races,Both Sexes
"Apache County, Arizona",17562,2010-04-01,Apache County,Arizona,White alone,Both Sexes
"Apache County, Arizona",182,2010-04-01,Apache County,Arizona,Black alone,Both Sexes
"Apache County, Arizona",52342,2010-04-01,Apache County,Arizona,American Indian and Alaska Native alone,Both Sexes
"Apache County, Arizona",223,2010-04-01,Apache County,Arizona,Asian alone,Both Sexes
"Apache County, Arizona",26,2010-04-01,Apache County,Arizona,Native Hawaiian and Other Pacific Islander alone,Both Sexes
"Apache County, Arizona",1183,2010-04-01,Apache County,Arizona,Two or more races,Both Sexes
"Apache County, Arizona",18479,2010-04-01,Apache County,Arizona,White alone or in combination,Both Sexes
"Apache County, Arizona",484,2010-04-01,Apache County,Arizona,Black alone or in combination,Both Sexes
"Apache County, Arizona",53380,2010-04-01,Apache County,Arizona,American Indian and Alaska Native alone or in combination,Both Sexes
"Apache County, Arizona",328,2010-04-01,Apache County,Arizona,Asian alone or in combination,Both Sexes
"Apache County, Arizona",72,2010-04-01,Apache County,Arizona,Native Hawaiian and Other Pacific Islander alone or in combination,Both Sexes
"Apache County, Arizona",35678,2010-04-01,Apache County,Arizona,All races,Male
"Apache County, Arizona",8999,2010-04-01,Apache County,Arizona,White alone,Male
"Apache County, Arizona",123,2010-04-01,Apache County,Arizona,Black alone,Male
"Apache County, Arizona",25798,2010-04-01,Apache County,Arizona,American Indian and Alaska Native alone,Male
"Apache County, Arizona",97,2010-04-01,Apache County,Arizona,Asian alone,Male
"Apache County, Arizona",18,2010-04-01,Apache County,Arizona,Native Hawaiian and Other Pacific Islander alone,Male
"Apache County, Arizona",643,2010-04-01,Apache County,Arizona,Two or more races,Male
"Apache County, Arizona",9503,2010-04-01,Apache County,Arizona,White alone or in combination,Male
"Apache County, Arizona",280,2010-04-01,Apache County,Arizona,Black alone or in combination,Male
"Apache County, Arizona",26367,2010-04-01,Apache County,Arizona,American Indian and Alaska Native alone or in combination,Male
"Apache County, Arizona",153,2010-04-01,Apache County,Arizona,Asian alone or in combination,Male
"Apache County, Arizona",40,2010-04-01,Apache County,Arizona,Native Hawaiian and Other Pacific Islander alone or in combination,Male
"Apache County, Arizona",35840,2010-04-01,Apache County,Arizona,All races,Female
"Apache County, Arizona",8563,2010-04-01,Apache County,Arizona,White alone,Female
"Apache County, Arizona",59,2010-04-01,Apache County,Arizona,Black alone,Female
"Apache County, Arizona",26544,2010-04-01,Apache County,Arizona,American Indian and Alaska Native alone,Female
"Apache County, Arizona",126,2010-04-01,Apache County,Arizona,Asian alone,Female
