Date,County,State,HISP,POP,Total Pop,Proportion Hisp
7/1/2015,Kenedy,Texas,Hispanic,336,440,0.763636364
7/1/2015,Kenedy,Texas,Non-Hispanic,104,440,0.236363636
7/1/2013,Montague,Texas,Hispanic,1988,19389,0.102532364
7/1/2013,Montague,Texas,Non-Hispanic,17401,19389,0.897467636
7/1/2012,Dimmit,Texas,Hispanic,9010,10476,0.860061092
7/1/2012,Dimmit,Texas,Non-Hispanic,1466,10476,0.139938908
7/1/2017,Wise,Texas,Hispanic,12774,65863,0.193948044
7/1/2017,Wise,Texas,Non-Hispanic,53089,65863,0.806051956
7/1/2015,Frio,Texas,Hispanic,15099,19269,0.783590223
7/1/2015,Frio,Texas,Non-Hispanic,4170,19269,0.216409777
7/1/2016,Coryell,Texas,Hispanic,13459,74879,0.179743319
7/1/2016,Coryell,Texas,Non-Hispanic,61420,74879,0.820256681
7/1/2017,Jim Hogg,Texas,Hispanic,4875,5245,0.929456625
7/1/2017,Jim Hogg,Texas,Non-Hispanic,370,5245,0.070543375
7/1/2016,Borden,Texas,Hispanic,137,657,0.208523592
7/1/2016,Borden,Texas,Non-Hispanic,520,657,0.791476408
7/1/2015,Houston,Texas,Hispanic,2455,22758,0.107874154
7/1/2015,Houston,Texas,Non-Hispanic,20303,22758,0.892125846
7/1/2010,Haskell,Texas,Hispanic,1421,5879,0.241707773
7/1/2010,Haskell,Texas,Non-Hispanic,4458,5879,0.758292227
7/1/2016,Guadalupe,Texas,Hispanic,58237,154638,0.376602129
7/1/2016,Guadalupe,Texas,Non-Hispanic,96401,154638,0.623397871
7/1/2016,Dimmit,Texas,Hispanic,9290,10722,0.866442828
7/1/2016,Dimmit,Texas,Non-Hispanic,1432,10722,0.133557172
7/1/2014,San Saba,Texas,Hispanic,1745,5862,0.297679973
7/1/2014,San Saba,Texas,Non-Hispanic,4117,5862,0.702320027
7/1/2014,Guadalupe,Texas,Hispanic,54375,146848,0.370280835
7/1/2014,Guadalupe,Texas,Non-Hispanic,92473,146848,0.629719165
7/1/2016,Lavaca,Texas,Hispanic,3719,19875,0.187119497
7/1/2016,Lavaca,Texas,Non-Hispanic,16156,19875,0.812880503
7/1/2014,Milam,Texas,Hispanic,6098,24145,0.252557465
7/1/2014,Milam,Texas,Non-Hispanic,18047,24145,0.747442535
7/1/2010,Lee,Texas,Hispanic,3736,16592,0.225168756
7/1/2010,Lee,Texas,Non-Hispanic,12856,16592,0.774831244
7/1/2014,Wilbarger,Texas,Hispanic,3696,12991,0.284504657
7/1/2014,Wilbarger,Texas,Non-Hispanic,9295,12991,0.715495343
7/1/2010,Freestone,Texas,Hispanic,2687,19802,0.135693364
7/1/2010,Freestone,Texas,Non-Hispanic,17115,19802,0.864306636
7/1/2012,Tyler,Texas,Hispanic,1520,21494,0.070717410
7/1/2012,Tyler,Texas,Non-Hispanic,19974,21494,0.929282590
7/1/2010,Somervell,Texas,Hispanic,1638,8501,0.192683214
7/1/2010,Somervell,Texas,Non-Hispanic,6863,8501,0.807316786
7/1/2011,Lampasas,Texas,Hispanic,3563,19925,0.178820577
7/1/2011,Lampasas,Texas,Non-Hispanic,16362,19925,0.821179423
7/1/2010,Marion,Texas,Hispanic,327,10488,0.031178490
7/1/2010,Marion,Texas,Non-Hispanic,10161,10488,0.968821510
7/1/2014,Taylor,Texas,Hispanic,31618,135003,0.234202203
7/1/2014,Taylor,Texas,Non-Hispanic,103385,135003,0.765797797
7/1/2015,Knox,Texas,Hispanic,1272,3794,0.335266210
7/1/2015,Knox,Texas,Non-Hispanic,2522,3794,0.664733790
7/1/2012,McLennan,Texas,Hispanic,58363,239390,0.243798822
7/1/2012,McLennan,Texas,Non-Hispanic,181027,239390,0.756201178
7/1/2010,Jeff Davis,Texas,Hispanic,792,2344,0.337883959
7/1/2010,Jeff Davis,Texas,Non-Hispanic,1552,2344,0.662116041
7/1/2013,Dickens,Texas,Hispanic,673,2296,0.293118467
7/1/2013,Dickens,Texas,Non-Hispanic,1623,2296,0.706881533
7/1/2010,Leon,Texas,Hispanic,2256,16726,0.134879828
7/1/2010,Leon,Texas,Non-Hispanic,14470,16726,0.865120172
7/1/2016,Gregg,Texas,Hispanic,22957,123551,0.185809908
7/1/2016,Gregg,Texas,Non-Hispanic,100594,123551,0.814190092
7/1/2015,Lubbock,Texas,Hispanic,102874,298365,0.344792452
7/1/2015,Lubbock,Texas,Non-Hispanic,195491,298365,0.655207548
7/1/2013,Hall,Texas,Hispanic,1077,3164,0.340391909
7/1/2013,Hall,Texas,Non-Hispanic,2087,3164,0.659608091
7/1/2012,Loving,Texas,Hispanic,21,86,0.244186047
7/1/2012,Loving,Texas,Non-Hispanic,65,86,0.755813953
7/1/2014,Panola,Texas,Hispanic,2011,23749,0.084677250
7/1/2014,Panola,Texas,Non-Hispanic,21738,23749,0.915322750
7/1/2017,Zapata,Texas,Hispanic,13488,14283,0.944339424
7/1/2017,Zapata,Texas,Non-Hispanic,795,14283,0.055660576
7/1/2013,Live Oak,Texas,Hispanic,4353,11818,0.368336436
7/1/2013,Live Oak,Texas,Non-Hispanic,7465,11818,0.631663564
7/1/2013,Aransas,Texas,Hispanic,6287,23890,0.263164504
7/1/2013,Aransas,Texas,Non-Hispanic,17603,23890,0.736835496
7/1/2010,Tarrant,Texas,Hispanic,486088,1817507,0.267447663
7/1/2010,Tarrant,Texas,Non-Hispanic,1331419,1817507,0.732552337
7/1/2012,Armstrong,Texas,Hispanic,171,1953,0.087557604
7/1/2012,Armstrong,Texas,Non-Hispanic,1782,1953,0.912442396
7/1/2011,Tom Green,Texas,Hispanic,40543,111740,0.362833363
7/1/2011,Tom Green,Texas,Non-Hispanic,71197,111740,0.637166637
7/1/2013,Atascosa,Texas,Hispanic,29502,47012,0.627541904
7/1/2013,Atascosa,Texas,Non-Hispanic,17510,47012,0.372458096
7/1/2010,Swisher,Texas,Hispanic,3193,7918,0.403258399
7/1/2010,Swisher,Texas,Non-Hispanic,4725,7918,0.596741601
7/1/2014,Red River,Texas,Hispanic,886,12452,0.071153228
7/1/2014,Red River,Texas,Non-Hispanic,11566,12452,0.928846772
7/1/2015,Aransas,Texas,Hispanic,6737,24815,0.271489019
7/1/2015,Aransas,Texas,Non-Hispanic,18078,24815,0.728510981
7/1/2015,Starr,Texas,Hispanic,61141,63595,0.961412061
7/1/2015,Starr,Texas,Non-Hispanic,2454,63595,0.038587939
7/1/2016,Jack,Texas,Hispanic,1445,8779,0.164597335
7/1/2016,Jack,Texas,Non-Hispanic,7334,8779,0.835402665
7/1/2017,Fisher,Texas,Hispanic,1122,3904,0.287397541
7/1/2017,Fisher,Texas,Non-Hispanic,2782,3904,0.712602459
7/1/2010,Tom Green,Texas,Hispanic,39614,110678,0.357921177
7/1/2010,Tom Green,Texas,Non-Hispanic,71064,110678,0.642078823
7/1/2010,Bell,Texas,Hispanic,68179,312850,0.217928720
7/1/2010,Bell,Texas,Non-Hispanic,244671,312850,0.782071280
7/1/2013,Hutchinson,Texas,Hispanic,4783,21924,0.218162744
7/1/2013,Hutchinson,Texas,Non-Hispanic,17141,21924,0.781837256
7/1/2011,McLennan,Texas,Hispanic,57178,237850,0.240395207
7/1/2011,McLennan,Texas,Non-Hispanic,180672,237850,0.759604793
7/1/2011,Goliad,Texas,Hispanic,2522,7208,0.349889012
7/1/2011,Goliad,Texas,Non-Hispanic,4686,7208,0.650110988
7/1/2013,Wheeler,Texas,Hispanic,1505,5719,0.263157895
7/1/2013,Wheeler,Texas,Non-Hispanic,4214,5719,0.736842105
7/1/2014,Lynn,Texas,Hispanic,2756,5799,0.475254354
7/1/2014,Lynn,Texas,Non-Hispanic,3043,5799,0.524745646
7/1/2018,Erath,Texas,Hispanic,9204,42446,0.216840221
7/1/2018,Erath,Texas,Non-Hispanic,33242,42446,0.783159779
7/1/2015,Washington,Texas,Hispanic,5377,34833,0.154365114
7/1/2015,Washington,Texas,Non-Hispanic,29456,34833,0.845634886
7/1/2015,Shackelford,Texas,Hispanic,396,3337,0.118669464
7/1/2015,Shackelford,Texas,Non-Hispanic,2941,3337,0.881330536
7/1/2012,Sabine,Texas,Hispanic,338,10525,0.032114014
7/1/2012,Sabine,Texas,Non-Hispanic,10187,10525,0.967885986
7/1/2017,Deaf Smith,Texas,Hispanic,13744,18851,0.729085990
7/1/2017,Deaf Smith,Texas,Non-Hispanic,5107,18851,0.270914010
7/1/2013,Zavala,Texas,Hispanic,11388,12207,0.932907348
7/1/2013,Zavala,Texas,Non-Hispanic,819,12207,0.067092652
7/1/2016,Duval,Texas,Hispanic,10198,11429,0.892291539
7/1/2016,Duval,Texas,Non-Hispanic,1231,11429,0.107708461
7/1/2014,Reagan,Texas,Hispanic,2498,3788,0.659450898
7/1/2014,Reagan,Texas,Non-Hispanic,1290,3788,0.340549102
7/1/2012,Hopkins,Texas,Hispanic,5493,35310,0.155564996
7/1/2012,Hopkins,Texas,Non-Hispanic,29817,35310,0.844435004
7/1/2011,Terrell,Texas,Hispanic,452,950,0.475789474
7/1/2011,Terrell,Texas,Non-Hispanic,498,950,0.524210526
7/1/2014,Montague,Texas,Hispanic,1989,19368,0.102695167
7/1/2014,Montague,Texas,Non-Hispanic,17379,19368,0.897304833
7/1/2017,Tyler,Texas,Hispanic,1670,21523,0.077591414
