"Date","Chrome","IE","Safari","Firefox","Android","Opera","Edge","BlackBerry","Samsung Internet","360 Safe Browser","IEMobile","UC Browser","Silk","Sony PS3","Nokia","Maxthon","Mozilla","Chromium","AOL","NetFront","Sony PS4","Puffin","Phantom","Sony PSP","SeaMonkey","QQ Browser","Pale Moon","Openwave","Unknown","Kindle","Nintendo 3DS","RockMelt","Coc Coc","Yandex Browser","TheWorld","Iron","Other"
2009-01,1.09,71.89,4.96,20.37,0.03,0.48,0,0.08,0,0,0.02,0,0,0.13,0.01,0,0.17,0,0.46,0.01,0,0,0,0.06,0.03,0,0,0.02,0,0,0,0,0,0,0,0,0.19
2009-02,1.28,69.13,5.33,22.49,0.04,0.51,0,0.1,0,0,0.02,0,0,0.13,0.01,0,0.18,0,0.46,0.01,0,0,0,0.05,0.03,0,0,0.03,0,0,0,0,0,0,0,0,0.2
2009-03,1.54,64.71,6.16,25.58,0.05,0.56,0,0.14,0,0,0.02,0,0,0.17,0.02,0,0.2,0,0.5,0.02,0,0,0,0.06,0.04,0,0,0.03,0,0,0,0,0,0,0,0,0.22
2009-04,1.97,61.41,6.58,27.86,0.05,0.63,0,0.16,0,0,0.02,0,0,0.21,0.02,0,0.23,0,0.49,0.02,0,0,0,0.06,0.04,0,0,0.03,0,0,0,0,0,0,0,0,0.21
2009-05,2.23,62.59,6.2,26.78,0.05,0.59,0,0.18,0,0,0.02,0,0,0.21,0.02,0,0.34,0,0.44,0.02,0,0,0,0.06,0.03,0,0,0.03,0,0,0,0,0,0,0,0,0.2
2009-06,2.82,56.37,7.41,30.75,0,0.71,0,0.24,0,0,0.03,0,0,0.27,0.02,0,0.46,0,0.47,0.03,0,0,0,0.07,0.04,0,0,0.05,0,0,0,0,0,0,0,0,0.26
2009-07,3.06,56.23,7.68,30.41,0.07,0.75,0,0.28,0,0,0.03,0,0,0.33,0.03,0,0.28,0,0.46,0.03,0,0,0,0.07,0.04,0,0,0.05,0,0,0,0,0,0,0,0,0.2
2009-08,3.35,55.58,7.98,30.52,0.07,0.75,0,0.23,0,0,0.03,0,0,0.37,0.03,0,0.3,0,0.41,0.03,0,0,0,0.06,0.03,0,0,0.04,0,0,0,0,0,0,0,0,0.19
2009-09,3.62,55.1,7.94,30.78,0.08,0.84,0,0.22,0,0,0.02,0,0,0.29,0.03,0,0.34,0,0.39,0.03,0,0,0,0.05,0.04,0,0,0.04,0,0,0,0,0,0,0,0,0.18
2009-10,4.11,54.7,8.22,30.58,0.08,0.76,0,0.22,0,0,0.02,0,0,0.3,0.03,0,0.31,0,0.34,0.03,0,0,0,0.04,0.03,0,0,0.04,0,0,0,0,0,0,0,0,0.17
