"Date","Safari","Chrome","Android","Samsung Internet","BlackBerry","Opera","IEMobile","UC Browser","Nokia","Firefox","NetFront","Sony PSP","Openwave","Puffin","Nintendo 3DS","Unknown","Palm","Samsung","Obigo","Sony PSP Vita","Edge","Polaris","SonyEricsson","QQ Browser","Motorola","Skyfire","LG","Phantom","Other"
2009-01,61.13,0,4.61,0,10.93,3.68,2.87,0,1.79,0,0.91,7.72,3.04,0,0,0,0,0,0,0,0,0,0.68,0,0.3,0,0,0,2.36
2009-02,60.83,0,4.82,0,12.38,3.58,2.61,0,1.73,0,1.09,6.43,3.31,0,0,0,0,0,0,0,0,0,0.48,0,0.37,0,0,0,2.37
2009-03,62.84,0,4.86,0,12.72,2.67,2.26,0,1.56,0,1.44,5.73,2.98,0,0,0,0,0,0,0,0,0,0.65,0,0.32,0,0,0,1.97
2009-04,64.75,0,4.34,0,13.25,2.35,2,0,1.36,0,1.58,4.99,2.67,0,0,0,0,0,0,0,0,0,0.59,0,0.32,0,0,0,1.79
2009-05,61.75,0,4.58,0,15.32,2.59,1.89,0,1.53,0,1.78,5,2.83,0,0,0,0,0,0,0,0,0,0.58,0,0.31,0,0,0,1.83
2009-06,61.57,0,0.27,0,17.91,3,1.86,0,1.73,0,2.15,5.23,3.49,0,0,0,0,0,0,0,0,0,0.6,0,0.37,0,0,0,1.81
2009-07,57.99,0,4.71,0,18.09,3.01,1.72,0,1.72,0,2.05,4.7,3.09,0,0,0,0.26,0.17,0,0,0,0,0.44,0,0.37,0,0.24,0,1.42
2009-08,58.96,0,4.93,0,15.34,3.57,1.76,0,1.77,0,2.25,4.08,2.72,0,0,0,1.18,0.67,0,0,0,0,0.08,0,0.54,0,1.08,0,1.07
2009-09,56.74,0,5.31,0,15.62,4.95,1.71,0,2.03,0,2.41,3.46,2.82,0,0,0,1.35,0.7,0,0,0,0,0.08,0,0.61,0,1.1,0,1.11
2009-10,57.22,0,6.15,0,15.91,3.78,1.38,0,2.16,0,2.54,3.2,2.74,0,0,0,1.65,0.77,0,0,0,0,0.09,0,0.54,0,0.95,0,0.93
2009-11,53.23,0,7.44,0,20.49,3.5,1.05,0,2.16,0,2.37,3.03,2.28,0,0,0,1.36,0.92,0,0,0,0,0.11,0,0.49,0,0.82,0,0.77
2009-12,54.52,0,9.55,0,17.02,3.74,0.91,0,2.3,0,2.56,3,2.15,0,0,0,1.19,1.02,0,0,0,0,0.09,0,0.5,0,0.77,0,0.67
2010-01,55.09,0,10.58,0,17.27,3.68,0.73,0,2.4,0,2.3,2.29,1.9,0,0,0,1.18,0.93,0,0,0,0,0.07,0,0.41,0,0.66,0,0.52
2010-02,52.25,0,11.57,0,21.1,3.21,0.57,0,2.07,0,2,1.91,1.77,0,0,0,1.09,0.97,0,0,0,0,0.05,0,0.39,0,0.57,0,0.46
2010-03,47.07,0,13.05,0,25.39,2.9,0.49,0.01,2.12,0,2.07,1.99,1.45,0,0,0,1.07,0.99,0,0,0,0,0.05,0,0.43,0,0.5,0,0.42
2010-04,44.87,0,13.5,0,27.23,2.95,0.41,0.01,2.19,0,2.09,2.1,1.21,0,0,0,1.15,0.91,0,0,0,0,0.06,0,0.42,0.07,0.45,0,0.39
2010-05,44.29,0,13.69,0,27.3,3.28,0.35,0.01,2.11,0,2.06,1.9,1.22,0,0,0,1.38,0.74,0,0,0,0,0.06,0,0.37,0.24,0.41,0,0.58
2010-06,41.81,0,14.73,0,28.69,3.43,0.31,0.01,2.14,0,2.21,1.96,1.09,0,0,0,1.39,0.73,0,0,0,0,0.06,0,0.34,0.21,0.35,0,0.53
2010-07,39.32,0,16.46,0,29.81,3.52,0.29,0.01,2.4,0,2.18,1.7,1.01,0,0,0,1.28,0.66,0,0,0,0,0.09,0,0.32,0.24,0.26,0,0.45
2010-08,37.85,0,17.35,0,31.42,3.45,0.23,0.01,2.44,0,2.1,1.26,0.92,0,0,0,1.14,0.62,0,0,0,0,0.09,0,0.3,0.21,0.23,0,0.38
2010-09,38.37,0,20.92,0,26.95,3.31,0.22,0.01,2.94,0,2.3,0.95,1.01,0,0,0,1.06,0.69,0,0,0,0.05,0.12,0,0.3,0.2,0.19,0,0.4
2010-10,36.42,0,21.06,0,29.37,3.4,0.18,0.02,2.8,0,2.12,0.79,0.88,0,0,0,0.91,0.44,0,0,0,0.56,0.12,0,0.25,0.2,0.14,0,0.33
2010-11,34.29,0,21.59,0,31.69,3.03,0.15,0.01,2.72,0,2.11,0.72,0.93,0,0,0,0.81,0.47,0,0,0,0.55,0.12,0,0.22,0.13,0.12,0,0.33
2010-12,34.94,0,23.21,0,29.73,2.79,0.14,0.01,2.7,0,2.09,0.78,0.91,0,0,0,0.72,0.57,0,0,0,0.56,0.13,0,0.19,0.12,0.12,0,0.29
2011-01,36.34,0,24.25,0,25.85,2.8,0.35,0.06,4.32,0,1.87,0.73,0.79,0,0,0,0.63,0.62,0,0,0,0.51,0.25,0,0.16,0.11,0.1,0,0.25
2011-02,37.45,0,26.08,0,22,2.91,0.56,0.09,5.12,0,1.83,0.66,0.76,0,0,0,0.57,0.62,0,0,0,0.5,0.3,0,0.15,0.12,0.09,0,0.18
2011-03,39.26,0,28.01,0,19.64,3.52,0.61,0.04,3.6,0,1.77,0.64,0.69,0,0,0,0.52,0.5,0,0,0,0.48,0.19,0,0.14,0.13,0.08,0,0.16
2011-04,36.62,0,26.76,0,21.55,4.25,0.6,0.05,5.18,0,1.5,0.62,0.61,0,0,0.14,0.43,0.45,0.03,0,0,0.4,0.28,0,0.12,0.12,0.07,0,0.19
2011-05,33.24,0,27.68,0,21.57,4.67,0.55,0.08,7.26,0,1.25,0.53,0.55,0,0,0.52,0.35,0.22,0.29,0,0,0.32,0.39,0,0.09,0.1,0.06,0,0.29
2011-06,34.22,0,29.54,0,16.26,3.95,0.56,0.12,9.95,0,1.27,0.59,0.54,0,0,0.44,0.32,0.54,0.35,0,0,0.29,0.5,0,0.1,0.1,0.07,0,0.3
2011-07,36.31,0,30.64,0,15.55,5.08,0.62,0.1,7.09,0,1.32,0.57,0.47,0,0,0.06,0.29,0.44,0.35,0,0,0.27,0.29,0,0.1,0.09,0.05,0,0.31
2011-08,36.77,0,34.22,0,14.18,3.82,0.69,0.13,5.71,0,1.44,0.64,0.47,0,0,0,0.29,0.25,0.4,0,0,0.26,0.17,0,0.11,0.09,0.04,0,0.32
2011-09,38.74,0,34.81,0,12.57,3.68,0.79,0.49,4.93,0,1.21,0.6,0.48,0,0,0,0.27,0.24,0.31,0,0,0.28,0.13,0,0.1,0.09,0.03,0,0.26
2011-10,40.92,0,35.12,0,10.58,3.41,0.86,3.19,2.35,0,1.06,0.64,0.46,0,0,0,0.24,0.2,0.26,0,0,0.27,0.1,0,0.02,0.08,0.03,0,0.21
2011-11,42.89,0,34.84,0,9.3,3.3,0.81,3.52,2.2,0.11,0.86,0.59,0.38,0,0,0,0.21,0.18,0.23,0,0,0.22,0.09,0,0.01,0.08,0.02,0,0.17
2011-12,41.66,0,36.41,0,8.69,3.44,0.77,3.66,2.06,0.17,0.85,0.61,0.37,0,0.15,0,0.18,0.19,0.27,0,0,0.19,0.09,0,0.01,0.07,0.02,0,0.13
2012-01,44.18,0,37.38,0,7.4,3.2,0.76,2.06,1.88,0.18,0.77,0.53,0.33,0,0.31,0,0.15,0.17,0.28,0,0,0.16,0.08,0,0.01,0.06,0.01,0,0.1
2012-02,46.05,0.03,37.25,0,6.95,2.76,0.8,1.75,1.84,0.18,0.57,0.41,0.3,0,0.25,0,0.13,0.15,0.23,0,0,0.13,0.07,0,0.01,0.05,0.01,0,0.09
2012-03,46.72,0.06,36.33,0,7.09,3.15,0.85,0.83,2.26,0.19,0.57,0.5,0.26,0,0.34,0,0.1,0.16,0.25,0,0,0.11,0.07,0,0.01,0.05,0.01,0,0.1
2012-04,47.26,0.04,36.78,0,6.26,3.23,0.9,0.57,2.39,0.18,0.51,0.49,0.23,0,0.39,0,0.09,0.13,0.22,0,0,0.09,0.06,0,0.01,0.05,0.01,0,0.09
2012-05,47.05,0.04,36.74,0,5.97,3.36,1.03,0.71,2.69,0.17,0.46,0.46,0.2,0,0.41,0.01,0.08,0.13,0.2,0,0,0.08,0.05,0,0.01,0.05,0.01,0,0.08
2012-06,48.66,0.14,36.35,0,5.35,3.45,0.99,0.34,2.54,0.15,0.39,0.44,0.18,0,0.41,0.01,0.07,0.1,0.18,0,0,0.07,0.04,0,0,0.04,0.01,0,0.08
2012-07,48.56,0.81,37,0,4.8,2.94,1.19,0.39,2.09,0.16,0.34,0.48,0.17,0,0.48,0.07,0.06,0.08,0.16,0,0,0.06,0.04,0,0,0.04,0.01,0.01,0.07
2012-08,48.67,0.82,37.48,0,4.37,2.81,1.24,0.34,2.06,0.26,0.29,0.44,0.14,0,0.51,0.08,0.05,0.07,0.14,0,0,0.05,0.03,0,0,0.04,0.01,0.02,0.07
2012-09,49.21,0.53,37.8,0,4.05,2.78,1.27,0.29,2.03,0.29,0.29,0.33,0.13,0,0.44,0.08,0.04,0.07,0.15,0,0,0.04,0.03,0.01,0,0.04,0,0.03,0.06
2012-10,49.66,0.66,37.13,0,3.67,2.55,1.15,1.13,2.06,0.35,0.29,0.29,0.11,0,0.39,0.09,0.03,0.08,0.14,0,0,0.04,0.03,0.01,0,0.03,0,0.03,0.07
2012-11,49.53,0.81,36.87,0,3.29,2.42,1.16,2.02,1.91,0.4,0.29,0.27,0.11,0,0.4,0.09,0.03,0.09,0.14,0,0,0.03,0.03,0,0,0.03,0,0.03,0.06
2012-12,49.35,0.99,37.25,0,2.81,2.33,1.2,2.41,1.82,0.36,0.28,0.25,0.1,0,0.38,0.09,0.02,0.08,0.12,0,0,0.03,0.02,0,0,0.02,0,0.04,0.05
2013-01,51.19,1.15,36.56,0,2.6,2.21,1.26,1.95,1.48,0.27,0.23,0.22,0.08,0,0.37,0.08,0.02,0.07,0.11,0,0,0.02,0.02,0,0,0.02,0,0.04,0.04
2013-02,51.95,1.46,35.8,0,2.5,2.08,1.3,2.06,1.31,0.27,0.22,0.19,0.08,0,0.36,0.07,0.02,0.06,0.11,0,0,0.02,0.02,0,0,0.02,0,0.04,0.04
2013-03,51.07,2.6,35.83,0,2.33,2.04,1.41,2.23,0.91,0.29,0.22,0.19,0.07,0,0.43,0.07,0.02,0.06,0.1,0,0,0.02,0.02,0.01,0,0.01,0,0.04,0.04
2013-04,51.72,3.08,35.34,0,2.31,2.06,1.49,1.61,0.74,0.32,0.26,0.19,0.07,0,0.44,0.07,0.01,0.05,0.1,0,0,0.02,0.02,0.01,0,0.01,0,0.05,0.05
2013-05,52.21,3.71,34.61,0,2.34,2.03,1.55,1.37,0.73,0.34,0.24,0.19,0.07,0,0.28,0.06,0.01,0.04,0.08,0,0,0.02,0.02,0.01,0,0.01,0,0.05,0.05
2013-06,52.1,4.55,33.14,0,3.02,2.15,1.64,1.2,0.69,0.38,0.24,0.2,0.07,0,0.3,0.06,0.01,0.03,0.07,0,0,0.01,0.02,0.01,0,0.01,0,0.04,0.05
2013-07,51.46,5.39,32.25,0,3.89,2.31,1.69,0.88,0.66,0.38,0.19,0.2,0.07,0.1,0.27,0.04,0.01,0.02,0.07,0,0,0.01,0.01,0.01,0,0.01,0.01,0.04,0.06
2013-08,50.27,6.23,32.03,0,4.38,2.52,1.76,0.75,0.64,0.39,0.19,0.19,0.07,0.1,0.18,0.04,0.01,0.02,0.07,0,0,0.01,0.01,0.01,0,0.01,0.01,0.05,0.06
2013-09,50.12,6.72,31.08,0,4.55,2.83,1.86,0.82,0.59,0.41,0.3,0.15,0.07,0.09,0.14,0.04,0.01,0.02,0.06,0,0,0.01,0.01,0.01,0,0.01,0.01,0.04,0.06
2013-10,49.11,7.26,30.02,0,4.41,4.48,1.96,0.85,0.58,0.44,0.24,0.12,0.06,0.09,0.11,0.04,0.01,0.01,0.08,0,0,0.01,0.01,0.01,0,0,0.01,0.04,0.06
2013-11,49.33,8.8,30.04,0,4.28,2.58,1.96,0.94,0.64,0.44,0.29,0.09,0.07,0.07,0.12,0.06,0.01,0.02,0.12,0,0,0.01,0.01,0.01,0,0,0.01,0.04,0.06
2013-12,48.97,10.26,29.29,0,4.03,2.54,1.94,1.12,0.59,0.41,0.26,0.07,0.06,0.07,0.09,0.05,0.01,0.02,0.09,0,0,0.01,0.01,0.01,0,0,0.01,0.03,0.06
2014-01,51.41,10.62,28.04,0,3.2,2.19,1.84,1.03,0.52,0.39,0.22,0.06,0.05,0.06,0.08,0.05,0,0.01,0.07,0.04,0,0,0.01,0.01,0,0,0.01,0.03,0.05
2014-02,49.61,14.7,26.49,0,2.58,1.93,1.91,1.17,0.47,0.39,0.19,0.05,0.05,0.06,0.07,0.04,0,0.01,0.06,0.13,0,0,0.01,0.01,0,0,0.01,0.02,0.04
2014-03,49.67,16.8,24.94,0,1.81,1.63,1.89,1.79,0.4,0.38,0.15,0.05,0.05,0.06,0.06,0.03,0,0.01,0.05,0.12,0,0,0.01,0.01,0,0,0,0.02,0.04
2014-04,48.82,19.22,23.39,0,1.63,1.54,2.06,1.89,0.39,0.41,0.12,0.04,0.05,0.07,0.06,0.04,0,0.01,0.05,0.12,0,0,0,0.01,0,0,0,0.02,0.04
2014-05,47.49,21.76,22.15,0,1.55,1.58,2.09,1.86,0.44,0.44,0.14,0.04,0.05,0.07,0.06,0.04,0,0.01,0.05,0.11,0,0,0.01,0.01,0,0,0,0.02,0.04
2014-06,47.31,23.43,20.74,0,1.51,1.79,2.15,1.57,0.49,0.44,0.09,0.03,0.04,0.07,0.05,0.04,0,0.01,0.05,0.11,0,0,0,0.01,0,0,0,0.02,0.04
2014-07,47.66,25.13,18.87,0,1.44,1.76,2.09,1.57,0.45,0.45,0.09,0.03,0.03,0.06,0.06,0.04,0,0.01,0.06,0.11,0,0,0.01,0.01,0,0,0,0.02,0.04
2014-08,47.5,26.89,17.8,0,1.24,1.56,2.02,1.63,0.38,0.46,0.09,0.03,0.03,0.07,0.05,0.04,0,0.01,0.05,0.09,0,0,0.01,0.01,0,0,0,0.02,0.03
2014-09,49.52,27.61,16.06,0,1.13,1.34,1.77,1.34,0.33,0.44,0.07,0.02,0.03,0.06,0.03,0.05,0,0.01,0.03,0.07,0,0,0,0.01,0,0,0,0.01,0.05
2014-10,49.84,29.23,15.06,0,0.95,1.31,1.68,0.85,0.26,0.42,0.04,0.01,0.02,0.07,0.04,0.05,0,0,0.03,0.09,0,0,0,0.01,0,0,0,0.01,0.03
2014-11,45.74,32.9,15.42,0,1.07,1.2,1.81,0.68,0.26,0.42,0.04,0.02,0.02,0.11,0.06,0.06,0,0,0.03,0.08,0,0,0,0.02,0,0,0,0.01,0.04
2014-12,45.01,35.87,13.7,0,0.94,1.01,1.71,0.71,0.2,0.39,0.04,0.01,0.02,0.1,0.06,0.05,0,0,0.02,0.08,0,0,0,0.01,0,0,0,0.01,0.04
2015-01,46.02,34.83,13.39,0,0.88,1.04,1.88,0.82,0.2,0.43,0.04,0.01,0.04,0.09,0.06,0.05,0,0,0.02,0.1,0,0,0,0.02,0,0,0,0.01,0.04
2015-02,46.03,35.29,13.08,0,0.82,1.05,1.84,0.78,0.26,0.41,0.04,0.01,0.02,0.08,0.05,0.05,0,0,0.02,0.09,0,0,0,0.02,0,0,0,0.01,0.03
2015-03,45.91,36.37,11.9,0,0.82,1.21,1.78,0.83,0.27,0.43,0.03,0.01,0.02,0.07,0.05,0.13,0,0,0.02,0.09,0,0,0,0.02,0,0,0,0.01,0.03
2015-04,43.67,38.08,11.97,0,0.79,1.36,1.95,0.9,0.33,0.45,0.03,0.01,0.02,0.08,0.04,0.09,0,0,0.02,0.1,0,0,0,0.02,0,0,0,0.01,0.06
2015-05,42.94,39.16,11.92,0,0.71,1.35,1.93,0.93,0.14,0.48,0.03,0,0.02,0.09,0.04,0.09,0,0,0.02,0.09,0,0,0,0.02,0,0,0,0.01,0.03
2015-06,43.95,39.9,10.48,0,0.61,1.45,1.79,0.88,0.07,0.43,0.03,0,0.02,0.07,0.03,0.11,0,0,0.02,0.09,0,0,0,0.02,0,0,0,0.01,0.03
2015-07,45.12,39.15,9.88,0,0.64,1.52,1.79,0.95,0.07,0.44,0.03,0,0.02,0.07,0.03,0.09,0,0.01,0.02,0.09,0.01,0,0,0.02,0,0,0,0.01,0.02
2015-08,45.4,39.47,9.08,0,0.63,1.56,1.77,1.1,0.07,0.46,0.03,0,0.03,0.09,0.03,0.09,0,0.01,0.02,0.09,0.01,0,0,0.02,0,0,0,0.01,0.02
2015-09,44.4,41.08,8.48,0,0.61,1.47,1.81,1.23,0.05,0.41,0.03,0,0.03,0.09,0.03,0.08,0,0.01,0.02,0.08,0.01,0,0,0.02,0,0,0,0.01,0.02
2015-10,43.74,41.84,8.27,0,0.66,1.59,1.89,1.34,0.06,0.14,0.03,0,0.03,0.09,0.03,0.08,0,0.01,0.03,0.08,0.01,0,0,0.02,0,0,0,0.01,0.03
2015-11,44.93,42.03,7.59,0,0.55,1.39,1.79,1.11,0.05,0.12,0.02,0,0.02,0.11,0.02,0.07,0,0.02,0.02,0.07,0.02,0,0,0.02,0,0,0,0.01,0.02
2015-12,45.4,42.42,6.81,0,0.63,1.22,1.86,1.04,0.04,0.15,0.02,0,0.01,0.1,0.02,0.08,0,0.04,0.02,0.08,0.04,0,0,0.01,0,0,0,0.01,0.01
